rank,article
1,Urban land-use mapping using a deep convolutional neural network with high spatial resolution multispectral remote sensing imagery
2,Performance of secondary wastewater treatment methods for the removal of contaminants of emerging concern implicated in crop uptake and antibiotic resistance spread: A review
3,Numerical modeling validation for the microclimate thermal condition of semi-closed courtyard spaces between buildings
4,"The rapid but ""invisible"" changes in urban greenspace: A comparative study of nine Chinese cities"
5,A planning framework to evaluate demands and preferences by different social groups for accessibility to urban greenspaces
6,Thermal benefits of vertical greening in a high-density city: Case study of Hong Kong
7,Sociohydrology modeling for complex urban environments in support of integrated land and water resource management practices
8,Contextual heat island assessment for pavement preservation
9,"Land-use planning as a tool for balancing the scientific and the social in biodiversity and ecosystem services mainstreaming? The case of Durban, South Africa"
10,Spatiotemporal and demographic variation in the association between temperature variability and hospitalizations in Brazil during 2000-2015: A nationwide time-series study
